fold,month,actual_revenue,pred_raw,pred_calibrated,n_days,abs_err_raw,abs_err_calibrated,ape_raw,ape_calibrated,is_peak_month
fold3_test_proxy,2022-03-01,137537949.28,113523330.875,121880237.69583097,31,24014618.405,15657711.58416903,0.17460358054423947,0.1138428460373001,1
fold3_test_proxy,2022-04-01,141305508.81,124558995.0,133236624.95563832,30,16746513.810000002,8068883.854361683,0.11851281631572791,0.057102401189546965,1
fold3_test_proxy,2022-05-01,139027887.16,126287080.75,134980913.97130963,31,12740806.409999996,4046973.1886903644,0.09164209188720003,0.02910907495870172,1
fold3_test_proxy,2022-06-01,135812426.69,117841566.0,126250800.37506191,30,17970860.689999998,9561626.314938083,0.13232118096983544,0.07040317699913476,0
fold3_test_proxy,2022-07-01,98141777.72,99226132.375,105864747.88474032,31,1084354.6550000012,7722970.164740324,0.01104885890791261,0.07869197343025594,0
fold3_test_proxy,2022-08-01,113542943.47,100300645.0,107250873.53875317,31,13242298.469999999,6292069.931246832,0.11662810620634335,0.05541577256106017,0
fold3_test_proxy,2022-09-01,85764286.59,75547601.875,81017253.4409119,30,10216684.715000004,4747033.1490881,0.11912516411220582,0.055349765477342605,0
fold3_test_proxy,2022-10-01,75194452.31,68734789.0,74897247.5968176,31,6459663.310000002,297204.71318240464,0.08590611556513646,0.0039524819192396695,0
fold3_test_proxy,2022-11-01,52200081.64,48738317.75,54773414.92583139,30,3461763.8900000006,2573333.285831392,0.06631721218127966,0.049297495424978265,0
fold3_test_proxy,2022-12-01,52454936.2,46662148.9375,54822815.883869745,31,5792787.262500003,2367879.683869742,0.11043359657160355,0.04514121749841613,0
